年份,Basketball,Judo,Football,Athletics,Ice Hockey,Swimming,Badminton,Sailing,Weightlifting,Water Polo,Rowing,Fencing,Shooting,Boxing,Taekwondo,Diving,Tennis,Modern Pentathlon,Golf,Softball,Archery,Table Tennis,Baseball,Triathlon,Polo,Cricket,Croquet,Roque,Basque Pelota
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0.011271186,0.006143187,0.009779412,0.001295034,0.009962547,0.001647059,0.011769912,0.006031746,0.010901639,0.0175,0.004024206,0.00580786,0.004716312,0.007916667,0,0.02375,0.01064,0.022735043,0,0,0.010769231,0.010725806,0.016625,0,0,0,0,0,0
1996,0.005316901,0.003901809,0.003891753,0.000632858,0,0.000923547,0.005741445,0.003296943,0.006213992,0.009869281,0.002431562,0.003891753,0.00246732,0.004253521,0,0.010863309,0.006138211,0.0471875,0,0.012583333,0.006926606,0.006015936,0.0094375,0,0,0,0,0,0
2000,0.003146853,0.002261307,0.00230179,0.000364668,0,0.000516944,0.004,0.002238806,0.003658537,0.003896104,0.001604278,0.002578797,0.001502504,0.002931596,0.008823529,0.003781513,0.003629032,0.01875,0,0.0075,0.004368932,0.003358209,0.0046875,0.009,0,0,0,0,0
2004,0.001707317,0.001276042,0.001152941,0.000225287,0,0.000302843,0.00245,0.001221945,0.001967871,0.001921569,0.000876565,0.001517028,0.000878136,0.00175,0.003951613,0.0025,0.001944444,0.00765625,0,0.004152542,0.002311321,0.001884615,0.002565445,0.004949495,0,0,0,0,0
2008,6.97E-03,5.18E-03,4.26E-03,8.91E-04,0,1.14E-03,0.010869565,5.00E-03,7.91E-03,7.81E-03,3.55E-03,6.02E-03,3.47E-03,7.07E-03,0.015873016,0.010989011,7.87E-03,0.027777778,0,0.016666667,0.010309278,8.00E-03,0.010471204,0.018181818,0,0,0,0,0
2012,0.002648084,0.001979167,0.001627409,0.000333626,0,0.000494148,0.004175824,0.002005277,0.003015873,0.002957198,0.001381818,0.002202899,0.001357143,0.002685512,0.0059375,0.004198895,0.002657343,0.010555556,0,0,0.0038,0.003220339,0,0.006909091,0,0,0,0,0
2016,0.01252669,0.009048843,0.00744186,0.001403509,0,0.002244898,0.019887006,0.009263158,0.013803922,0.013643411,0.0064,0.01017341,0.006342342,0.012438163,0.027936508,0.019775281,0.012307692,0.048888889,0.029333333,0,0.0176,0.014915254,0,0.032,0,0,0,0,0
